embedding,chunk_size,chunk_overlap,top_k,n_chunks,hit_at_k,mrr,span_recall_at_k,precision_at_k,n_questions
tfidf,40,0,1,58,0.95,0.95,0.9,0.95,20
hashing,40,0,1,58,0.55,0.55,0.55,0.55,20
tfidf,40,0,3,58,1.0,0.975,0.95,0.6333,20
hashing,40,0,3,58,0.9,0.7083,0.75,0.4,20
tfidf,40,0,5,58,1.0,0.975,0.95,0.49,20
hashing,40,0,5,58,0.9,0.7083,0.85,0.34,20
tfidf,40,0,10,58,1.0,0.975,0.95,0.34,20
hashing,40,0,10,58,1.0,0.7217,0.9,0.255,20
tfidf,40,20,1,105,0.95,0.95,0.9,0.95,20
hashing,40,20,1,105,0.75,0.75,0.65,0.75,20
tfidf,40,20,3,105,1.0,0.9667,1.0,0.8833,20
hashing,40,20,3,105,0.95,0.8417,0.85,0.5833,20
tfidf,40,20,5,105,1.0,0.9667,1.0,0.68,20
hashing,40,20,5,105,0.95,0.8417,0.85,0.44,20
tfidf,40,20,10,105,1.0,0.9667,1.0,0.49,20
hashing,40,20,10,105,0.95,0.8417,0.9,0.33,20
tfidf,80,0,1,30,1.0,1.0,0.95,1.0,20
hashing,80,0,1,30,0.9,0.9,0.7,0.9,20
tfidf,80,0,3,30,1.0,1.0,0.95,0.5833,20
hashing,80,0,3,30,0.95,0.925,0.85,0.4833,20
tfidf,80,0,5,30,1.0,1.0,0.95,0.41,20
hashing,80,0,5,30,0.95,0.925,0.85,0.34,20
tfidf,80,0,10,30,1.0,1.0,0.95,0.23,20
hashing,80,0,10,30,1.0,0.9306,0.9,0.205,20
tfidf,80,20,1,38,0.95,0.95,0.9,0.95,20
hashing,80,20,1,38,0.85,0.85,0.8,0.85,20
tfidf,80,20,3,38,1.0,0.975,1.0,0.7167,20
hashing,80,20,3,38,0.95,0.9,0.9,0.5,20
tfidf,80,20,5,38,1.0,0.975,1.0,0.49,20
hashing,80,20,5,38,0.95,0.9,0.9,0.38,20
tfidf,80,20,10,38,1.0,0.975,1.0,0.27,20
hashing,80,20,10,38,0.95,0.9,0.9,0.24,20
tfidf,80,40,1,48,1.0,1.0,1.0,1.0,20
hashing,80,40,1,48,0.8,0.8,0.75,0.8,20
tfidf,80,40,3,48,1.0,1.0,1.0,0.75,20
hashing,80,40,3,48,0.95,0.875,0.95,0.6167,20
tfidf,80,40,5,48,1.0,1.0,1.0,0.59,20
hashing,80,40,5,48,0.95,0.875,0.95,0.43,20
tfidf,80,40,10,48,1.0,1.0,1.0,0.345,20
hashing,80,40,10,48,0.95,0.875,0.95,0.285,20
tfidf,120,0,1,20,0.95,0.95,0.9,0.95,20
hashing,120,0,1,20,0.75,0.75,0.75,0.75,20
tfidf,120,0,3,20,1.0,0.975,1.0,0.5167,20
hashing,120,0,3,20,0.9,0.8167,0.9,0.3667,20
tfidf,120,0,5,20,1.0,0.975,1.0,0.34,20
hashing,120,0,5,20,0.95,0.8292,0.95,0.26,20
tfidf,120,0,10,20,1.0,0.975,1.0,0.19,20
hashing,120,0,10,20,1.0,0.8347,0.95,0.18,20
tfidf,120,20,1,27,0.95,0.95,0.9,0.95,20
hashing,120,20,1,27,0.75,0.75,0.75,0.75,20
tfidf,120,20,3,27,1.0,0.975,1.0,0.5333,20
hashing,120,20,3,27,0.9,0.8167,0.9,0.4333,20
tfidf,120,20,5,27,1.0,0.975,1.0,0.37,20
hashing,120,20,5,27,0.95,0.8292,0.9,0.29,20
tfidf,120,20,10,27,1.0,0.975,1.0,0.21,20
hashing,120,20,10,27,0.95,0.8292,0.95,0.195,20
tfidf,120,40,1,28,0.95,0.95,0.9,0.95,20
hashing,120,40,1,28,0.8,0.8,0.8,0.8,20
tfidf,120,40,3,28,1.0,0.9667,1.0,0.6333,20
hashing,120,40,3,28,0.9,0.8417,0.9,0.4167,20
tfidf,120,40,5,28,1.0,0.9667,1.0,0.42,20
hashing,120,40,5,28,0.95,0.8517,0.95,0.32,20
tfidf,120,40,10,28,1.0,0.9667,1.0,0.23,20
hashing,120,40,10,28,0.95,0.8517,0.95,0.21,20
tfidf,200,0,1,18,0.9,0.9,0.9,0.9,20
hashing,200,0,1,18,0.8,0.8,0.8,0.8,20
tfidf,200,0,3,18,1.0,0.9417,1.0,0.3667,20
hashing,200,0,3,18,0.95,0.875,0.9,0.3333,20
tfidf,200,0,5,18,1.0,0.9417,1.0,0.24,20
hashing,200,0,5,18,0.95,0.875,0.95,0.22,20
tfidf,200,0,10,18,1.0,0.9417,1.0,0.145,20
hashing,200,0,10,18,1.0,0.8833,1.0,0.13,20
tfidf,200,20,1,18,0.9,0.9,0.85,0.9,20
hashing,200,20,1,18,0.8,0.8,0.8,0.8,20
tfidf,200,20,3,18,1.0,0.9417,1.0,0.3833,20
hashing,200,20,3,18,0.95,0.8667,0.95,0.3333,20
tfidf,200,20,5,18,1.0,0.9417,1.0,0.24,20
hashing,200,20,5,18,0.95,0.8667,0.95,0.21,20
tfidf,200,20,10,18,1.0,0.9417,1.0,0.14,20
hashing,200,20,10,18,1.0,0.875,1.0,0.135,20
tfidf,200,40,1,18,0.9,0.9,0.85,0.9,20
hashing,200,40,1,18,0.75,0.75,0.75,0.75,20
tfidf,200,40,3,18,1.0,0.95,1.0,0.45,20
hashing,200,40,3,18,0.9,0.825,0.9,0.3167,20
tfidf,200,40,5,18,1.0,0.95,1.0,0.28,20
hashing,200,40,5,18,0.95,0.835,0.95,0.22,20
tfidf,200,40,10,18,1.0,0.95,1.0,0.145,20
hashing,200,40,10,18,1.0,0.8412,1.0,0.145,20
